smiles,count
CCCCCCCCCCCCCCCCCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCCCCCC,10
CCCCCCCCCCCCCCCCCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCC\C=C/CCCCCCCC,10
CCCCCCCCCCCCCCCCCCCCCC(NCCN1CCNCC1)C(=O)NCCCCCCCCCCCCCCCCCC,10
CCCCCCCCCCCCCCCCCCCCCC(NCCCN1CCOCC1)C(=O)NCCCCCCCC\C=C/CCCCCCCC,10
CCCCCCCCCCCCCCCCCCCCCC(NCCCN(CCCC)CCCC)C(=O)NCCCCCCCCCCCCCCCCCC,10
CCCCCCCCCCCCCCCCCCCCCC(NCCCN1CCOCC1)C(=O)NCCCCCCCCCCCCCCCCCC,10
CCCCCCCCCCCCCCCCCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCCCCC,10
CCCCCCCCCCCCCCCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCCCCCC,10
CCCCCCCCCCCCCCCCCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCCCCCC,10
CCCCCCCCCCCCCCCCCCCCCC(NCCN1CCNCC1)C(=O)NCCCCCCCC\C=C/CCCCCCCC,10
