smiles,count
CCCCCCCCCCCCNC(=O)C(CCCCCCCOC(=O)\C=C\CCCCCCC)NC1=CC(C)=NN1C,10
CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NC1=CC(C)=NN1C,10
CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCCCOC(=O)CCC(C)CCCCC)NC1=CC(C)=NN1C,10
CCCCCCCCCCCCCCNC(=O)C(CCCCCCCOC(=O)\C=C\CCCCCCC)NC1=CC(C)=NN1C,10
CCCCCCCCCCCCNC(=O)C(CCCCCCCOC(=O)CCC(C)CCCCC)NC1=CC(C)=NN1C,10
CCCCCCCCCCCCCCCCCNC(=O)C(CCCCCCCOC(=O)CCC(C)CCCCC)NC1=CC(C)=NN1C,10
CCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NC1=CC(C)=NN1C,10
CCCCCCCCCCCCCCCNC(=O)C(CCCCCCCOC(=O)CCC(C)CCCCC)NC1=CC(C)=NN1C,10
CCCCCCCCCCCCCNC(=O)C(CCCCCCCOC(=O)\C=C\CCCCCCC)NC1=CC(C)=NN1C,10
CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NC1=CC(C)=NN1C,10
